tenor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1Y,0.1706629064299165,-0.3555900726305964,0.6613569086746989,-0.4977174795440188,-0.28969069569533773,0.24247288522344038,-0.12430032017450132,-0.03390949252856092
2Y,0.309878407174098,-0.5001571228151912,0.24539921737049442,0.2196164482374461,0.47121848193060906,-0.39701273974126,0.40691394293207134,0.01100612827554197
3Y,0.352921763607468,-0.3998027091430191,-0.15105886250442382,0.6096538356800226,-0.3693945576036728,0.18884131456099607,-0.3859657166937846,-0.004952524438909428
5Y,0.3941537553645102,-0.17404145637160193,-0.4610346858234685,-0.46928126790056013,0.4126700030879333,0.10114859339757232,-0.3688608075795029,0.25492868394572327
7Y,0.4009881152716363,0.029778587600220757,-0.3266588609950934,-0.15596995766868302,-0.18376268321996736,0.33071207042053785,0.5613795550425371,-0.49900192973961205
10Y,0.3966780371758965,0.23273750228269682,-0.05548800072747623,-0.12119414516443625,-0.5038150167510805,-0.4623845715070202,0.20129820235538234,0.512408842101196
15Y,0.38056955714994856,0.3894067396489085,0.19208687107953487,-0.002410548274130661,0.09178362705203225,-0.4075833190734783,-0.41436406273289406,-0.5660212485731454
20Y,0.3632636362812238,0.4759987393234417,0.34688932854189947,0.2704122023835196,0.30209442801189856,0.4983990137496303,0.08109929743879803,0.3190141828768339
