tenor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1Y,0.17066290642991655,-0.3555900726305965,0.6613569086746968,-0.4977174795440063,-0.2896906956953797,0.24247288522341884,-0.12430032017450464,-0.0339094925285636
2Y,0.3098784071740981,-0.5001571228151915,0.2453992173704963,0.21961644823741816,0.47121848193065385,-0.39701273974122947,0.40691394293206234,0.01100612827555909
3Y,0.3529217636074679,-0.3998027091430191,-0.15105886250442427,0.6096538356800472,-0.36939455760367085,0.18884131456097664,-0.38596571669375573,-0.004952524438932503
5Y,0.3941537553645102,-0.1740414563716022,-0.46103468582346835,-0.46928126790056734,0.4126700030878904,0.10114859339758225,-0.36886080757954426,0.25492868394571505
7Y,0.4009881152716363,0.0297785876002218,-0.32665886099509245,-0.1559699576686953,-0.18376268321995842,0.33071207042053813,0.5613795550425529,-0.4990019297395938
10Y,0.39667803717589645,0.2327375022826971,-0.05548800072747972,-0.12119414516440916,-0.503815016751058,-0.4623845715070324,0.20129820235539592,0.5124088421012083
15Y,0.3805695571499486,0.38940673964890776,0.1920868710795327,-0.0024105482741282056,0.09178362705202985,-0.4075833190734909,-0.41436406273286963,-0.5660212485731558
20Y,0.3632636362812239,0.47599873932344167,0.346889328541904,0.2704122023835032,0.3020944280118921,0.4983990137496488,0.08109929743876557,0.3190141828768293
