PC,eigenvalue_bp2,std_dev_bp,expl_var_frac,cum_var_frac
PC1,94.71930567597013,9.732384377734478,0.8641443467327666,0.8641443467327666
PC2,10.461363582714094,3.234403126190997,0.0954412422536567,0.9595855889864233
PC3,1.7574703570806138,1.325696178270351,0.01603377540389761,0.9756193643903209
PC4,0.7326401968571657,0.855944038391042,0.006684032149360628,0.9823033965396816
PC5,0.6695185517263876,0.8182411329958839,0.006108159972015563,0.9884115565116971
PC6,0.5828939591022029,0.7634749236891823,0.005317865411999496,0.9937294219236966
PC7,0.39849504333563623,0.6312646381159301,0.0036355549319327498,0.9973649768556294
PC8,0.2888262402208125,0.5374255671447093,0.002635023144370603,1.0
