Scenario,Condition,Gross EUR,Gross %,AI EUR,Clean %
Worst Case,EURIBOR <= 0 (floor binds),810.48,81.05,4.779,80.57
Best Case,EURIBOR >= 3.4062% (cap binds),1227.79,122.78,4.779,122.3
