date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2015-12-23,5.804715517119402,2.416922610003052,-0.5069005944150244,-0.027194893489241263,-0.0060759220348459006,0.3163873883816439,-0.2921596159251539,0.2712869129616922
2015-12-24,2.2221048704241078,-0.37532956532218176,-1.5786725490796547,-0.7208401695995981,1.1122129729513792,0.42397768370393574,-0.9177677206838002,0.20602875895414322
2015-12-25,-2.0607757893475074,0.8591098596822957,1.6482163204103812,0.5030794534063542,-0.4283094966928818,-0.5301175797063301,0.5713677614093504,-0.23902158130146275
2015-12-28,-9.397591193570774,-5.168555998540687,-0.02902719826929297,1.51897416462219,0.06629595033866986,0.542834297651881,-0.5347762300979919,-0.21708231449113174
2015-12-29,11.095165455627615,6.8284100517081425,0.2626838717455209,-0.4753741602468474,-0.6466367459801432,-0.4635749990305438,0.495465281958997,0.11740182794245627
2015-12-30,-2.6585692937724525,0.47326382450147775,0.9097831403887844,0.08121081417528611,0.34757196954874525,0.3394665074653757,0.01018866017475001,0.13329352059090777
2015-12-31,0.17470770677002062,0.0013811130723860483,-0.36736233595905704,-0.24378692107780742,-0.4778214182619309,-0.6853985623587944,0.5201474798713478,-0.28962892549385744
2016-01-01,0.22877478236761423,0.18758717121929336,0.02558351230874801,0.10101540663800956,0.054784881545467304,0.17881560933419796,-0.361836824516111,0.18710690496281826
2016-01-04,-9.42948949871821,-3.3318622671704032,-0.6147507996502143,0.04741138278961324,0.7919032861748825,0.4458486613191111,-0.33188827856778286,0.005838606092837299
2016-01-05,-9.165451518726755,-0.03732358856601679,1.1623637130892368,1.0898027316385492,-0.6327500111334853,0.0338055664996581,0.06303929246807595,-0.17827768561755755
2016-01-06,-7.06613940528589,-1.277139042003522,0.3303038623672831,-0.42606271336245805,1.1667506358429107,-0.08325825765115367,-0.016492604692949688,0.2206493868995953
2016-01-07,3.4526279133618547,1.3310440393752312,-0.18602848775994038,0.10559884526766643,0.362599542178141,0.3195101893828571,-0.2994870407182617,1.0290952708372758
2016-01-08,-5.73486138821488,-2.2146443244023835,-0.7678561090825977,-0.45727167071816777,-0.16765528985242775,0.014185053562414465,0.9189656120155067,-1.4384880143379395
2016-01-11,4.982840955675734,1.9125545895743084,-0.5737018915669945,0.09873173362638261,-0.8157655061053425,-0.5119351042301455,-0.18667689520525263,0.3547925882977546
2016-01-12,-5.701120036239729,-2.3248467457758273,-0.32986981238820956,-0.364409031008985,-0.39797341260816943,-0.427031895776666,0.11897356068942866,-0.03568533209578891
2016-01-13,-5.1556238670649375,-2.984098239572883,-0.04223199771205155,0.2826520669186656,0.15783354765298807,0.15487488295767463,-0.11148640449366644,0.09488705662037702
2016-01-14,5.177837981151786,2.918185948389715,0.9874749501895477,0.09385744033753565,0.1338411845295609,-0.19444835745384131,0.04527122317775369,-0.12690670519557057
2016-01-15,-5.291916063448595,-2.0054362638319367,-0.5837401924223604,0.17981397997355422,0.02025020940219986,0.5344480774620692,0.029061964553818518,-0.31165881826509556
2016-01-18,0.057815166242813756,1.3823963730992026,1.8482602257877534,0.5462320390410874,0.701918580378164,-0.42359085372158817,-0.09004380017799002,0.26051337712599043
2016-01-19,-1.127875194622932,0.3734075716561372,-0.15787768320185208,0.026954745769065806,-0.46007368443628854,0.0016063202471210034,0.25488774475623116,-0.18315915818476988
2016-01-20,-9.102831377708501,-3.690867662295739,-1.458869016413108,0.4567018975855326,0.1675104485880459,0.842153784243267,0.36674899986396553,0.34692084833983494
2016-01-21,-12.813034455151307,1.6119689121783316,-0.25698402116777297,-0.598254333003191,-0.2786393651259173,-1.5937174980978026,-0.4034709467944467,-0.08168138177427768
2016-01-22,5.611961892482167,2.9776989833523215,0.48765975073878154,0.44105227806050584,0.42254553150397806,0.0459583456912528,-0.20184934706288088,0.018767521152791768
2016-01-25,-2.4723144619577546,-1.5365259027547964,-0.6620035331905828,0.02474604442263044,-0.07195206893712655,-0.134430671338644,0.3681287205813626,0.049910485229191226
2016-01-26,-4.0597284112617835,-1.569544792867997,-0.9798485852607287,0.4844873740467201,-0.2080609421841426,0.09412735450650819,-0.47524233220057316,0.09349958863082974
2016-01-27,-2.111647047491665,-2.3634933547141825,-0.2856813764177817,-0.6165546275316374,0.016663134999921943,-0.3584373426837561,0.7179689850032679,0.05616174336677221
2016-01-28,-4.519031666509831,-2.800266709542462,-0.6411000493896962,0.4948736257548409,-0.4066133753381004,-0.02855424181236498,-0.38164392696217686,-0.07612097175760325
2016-01-29,-13.361655974694838,-2.4316390054533903,-1.297456485086706,-0.043857889789844916,-0.25532495699077057,-0.39062611596169233,0.0784449126838575,0.07290109241046358
2016-02-01,0.02566365680941854,-1.82340976991528,-0.5852186920384927,0.7598654981456777,-0.6871830594220284,0.14279417999999103,-0.117368083320054,0.020988082158313097
2016-02-02,-6.7213277173861306,-0.6595542494559686,0.6431648890631195,-1.1456846264669303,0.2021257343315721,0.2120377198575267,0.24773372628534843,0.00010520736727464766
2016-02-03,-6.459441455990799,-1.5921438246533401,-2.762487722433638,-0.5633638013073058,-0.44942462180100234,-0.18350336707331386,0.7708531294936702,-0.2373826632205948
2016-02-04,3.972983669272524,0.520874706220018,1.1923922273380514,0.3969690981199279,0.4704335662480971,-0.3753219169481302,-0.14498814144705177,0.2794783658547944
2016-02-05,-1.8643858408424359,-0.8381547389787972,-0.647634984833541,-0.09577412913721706,0.20967533747920006,0.07387876428817494,-0.16294606900980554,0.04525294693730222
2016-02-08,-6.989843847808911,-9.563362792522529,-0.8978604078578557,-1.2070842588198203,-0.8869555351272312,-0.826294365137104,0.5506194934443189,-0.06616935299547438
2016-02-09,2.7308629136469467,0.5780556524500833,-1.1894569137605961,0.4703879513813716,-0.26665364094618704,-0.1397340868111534,0.6676915743895624,-0.442341010177337
2016-02-10,-0.816845627168131,2.60344504231345,0.9284014873998822,0.008657724978387184,0.48195027106225885,0.1106162736893513,-0.3591567939087133,0.33260558666826856
2016-02-11,-3.587004607074553,-2.8919826807167013,-3.115659166566435,-0.6653034632296354,-1.679521134890261,0.1226632080056703,-0.04093935866853995,-0.20542508844096377
2016-02-12,11.497896417071297,2.4377192421666702,1.7795257497546209,0.35253920714553494,0.9341045227540926,-0.6753278579284986,0.3646812067504164,0.06167522160103414
2016-02-15,-3.3464137986652935,-1.0573453360804808,1.6205741986287279,1.3418547395636553,-0.7618445909533736,-2.6290295141053734,-1.4497003407554347,-1.2647082210761906
