"Date","Price","Open","High","Low","Change %"
"08/26/2025","41.89","40.38","41.89","40.38","3.84%"
"08/25/2025","40.34","40.35","40.35","40.34","-0.12%"
"08/22/2025","40.39","42.34","42.34","40.39","-4.49%"
"08/21/2025","42.29","41.84","42.29","41.84","0.98%"
"08/20/2025","41.88","40.86","41.88","40.86","2.47%"
"08/19/2025","40.87","40.85","40.87","40.85","0.02%"
"08/18/2025","40.86","40.84","40.86","40.84","0.17%"
"08/15/2025","40.79","41.85","41.85","40.79","-2.49%"
"08/14/2025","41.83","41.85","41.85","41.83","-0.19%"
"08/13/2025","41.91","42.36","42.36","41.91","-1.02%"
"08/12/2025","42.34","43.34","43.34","42.34","-2.33%"
"08/11/2025","43.35","42.85","43.35","42.85","1.31%"
"08/08/2025","42.79","43.34","43.34","42.79","-1.25%"
"08/07/2025","43.33","44.82","44.82","43.33","-3.32%"
"08/06/2025","44.82","44.84","44.84","44.82","-0.04%"
"08/05/2025","44.84","44.84","44.84","44.84","0.00%"
"08/04/2025","44.84","46.30","46.30","44.84","-3.34%"
"08/01/2025","46.39","44.33","46.39","44.33","4.62%"
"07/31/2025","44.34","44.33","44.34","44.33","0.07%"
"07/30/2025","44.31","43.85","44.31","43.85","1.14%"
"07/29/2025","43.81","44.83","44.83","43.81","-2.41%"
"07/28/2025","44.89","44.83","44.89","44.83","0.20%"
"07/25/2025","44.80","44.81","44.81","44.80","0.22%"
"07/24/2025","44.70","44.76","44.76","44.70","-0.13%"
"07/23/2025","44.76","46.81","46.81","44.76","-4.44%"
"07/22/2025","46.84","46.34","46.84","46.34","0.95%"
"07/21/2025","46.40","46.37","46.40","46.37","0.15%"
"07/18/2025","46.33","46.31","46.33","46.31","0.00%"
"07/17/2025","46.33","47.33","47.33","46.33","-2.17%"
"07/16/2025","47.36","47.32","47.36","47.32","0.04%"
"07/15/2025","47.34","46.35","47.34","46.35","2.09%"
"07/14/2025","46.37","45.88","46.37","45.88","1.20%"
"07/11/2025","45.82","45.36","45.82","45.36","1.10%"
"07/10/2025","45.32","45.86","45.86","45.32","-1.22%"
"07/09/2025","45.88","46.36","46.36","45.88","-0.93%"
"07/08/2025","46.31","46.34","46.34","46.31","-0.04%"
"07/07/2025","46.33","46.86","46.86","46.33","-1.22%"
"07/04/2025","46.90","45.88","46.90","45.88","2.20%"
"07/03/2025","45.89","46.86","46.86","45.89","-1.99%"
"07/02/2025","46.82","46.86","46.86","46.82","-0.11%"
"07/01/2025","46.87","46.36","46.87","46.36","1.12%"
"06/30/2025","46.35","46.86","46.86","46.35","-1.02%"
"06/27/2025","46.83","47.34","47.34","46.83","-1.18%"
"06/26/2025","47.39","47.88","47.88","47.39","-0.98%"
"06/25/2025","47.86","47.86","47.86","47.86","-0.02%"
"06/24/2025","47.87","50.34","50.34","47.87","-4.94%"
"06/23/2025","50.36","49.82","50.36","49.82","1.04%"
"06/20/2025","49.84","51.83","51.83","49.84","-3.80%"
"06/19/2025","51.81","51.33","51.81","51.33","0.88%"
"06/18/2025","51.36","50.33","51.36","50.33","2.07%"
"06/17/2025","50.32","47.84","50.32","47.84","5.14%"
"06/16/2025","47.86","48.83","48.83","47.86","-1.93%"
"06/13/2025","48.80","48.38","48.80","48.38","0.87%"
"06/12/2025","48.38","47.37","48.38","47.37","2.11%"
"06/11/2025","47.38","47.85","47.85","47.38","-1.06%"
"06/10/2025","47.89","48.36","48.36","47.89","-0.99%"
"06/09/2025","48.37","48.84","48.84","48.37","-0.94%"
"06/06/2025","48.83","49.32","49.32","48.83","-0.87%"
"06/05/2025","49.26","50.36","50.36","49.26","-2.11%"
"06/04/2025","50.32","50.34","50.34","50.32","-0.10%"
"06/03/2025","50.37","50.86","50.86","50.37","-0.94%"
"06/02/2025","50.85","50.36","50.85","50.36","0.97%"
"05/30/2025","50.36","51.36","51.36","50.36","-1.97%"
"05/29/2025","51.37","51.32","51.37","51.32","0.08%"
"05/28/2025","51.33","51.34","51.34","51.33","-0.08%"
"05/27/2025","51.37","54.34","54.34","51.37","-5.43%"
"05/26/2025","54.32","54.27","54.32","54.27","-0.13%"
"05/23/2025","54.39","51.85","54.39","51.85","4.88%"
"05/22/2025","51.86","51.33","51.86","51.33","1.07%"
"05/21/2025","51.31","50.85","51.31","50.85","0.88%"
"05/20/2025","50.86","52.35","52.35","50.86","-2.83%"
"05/19/2025","52.34","52.32","52.34","52.32","-0.08%"
"05/16/2025","52.38","52.36","52.38","52.36","-0.04%"
"05/15/2025","52.40","52.31","52.40","52.31","0.19%"
"05/14/2025","52.30","50.82","52.30","50.82","2.91%"
"05/13/2025","50.82","52.31","52.31","50.82","-2.64%"
"05/12/2025","52.20","54.78","54.78","52.20","-4.71%"
"05/09/2025","54.78","55.27","55.27","54.78","-0.87%"
"05/08/2025","55.26","56.32","56.32","55.26","-1.97%"
"05/07/2025","56.37","56.34","56.37","56.34","0.07%"
"05/06/2025","56.33","56.32","56.33","56.32","0.05%"
"05/05/2025","56.30","56.30","56.30","56.30","0.11%"
"05/02/2025","56.24","56.68","56.68","56.24","-1.87%"
"05/01/2025","57.31","59.30","59.30","57.31","-3.42%"
"04/30/2025","59.34","58.30","59.34","58.30","1.77%"
"04/29/2025","58.31","58.32","58.32","58.31","0.05%"
"04/28/2025","58.28","58.32","58.32","58.28","-0.02%"
"04/25/2025","58.29","58.80","58.80","58.29","-0.99%"
"04/24/2025","58.87","59.82","59.82","58.87","-1.47%"
"04/23/2025","59.75","60.78","60.78","59.75","-1.78%"
"04/22/2025","60.83","61.78","61.78","60.83","-1.52%"
"04/21/2025","61.77","61.77","61.77","61.77","0.06%"
"04/18/2025","61.73","61.73","61.73","61.73","-0.08%"
"04/17/2025","61.78","61.72","61.78","61.72","0.03%"
"04/16/2025","61.76","61.77","61.77","61.76","-0.02%"
"04/15/2025","61.77","63.28","63.28","61.77","-2.34%"
"04/14/2025","63.25","66.17","66.17","63.25","-4.43%"
"04/11/2025","66.18","63.24","66.18","63.23","4.67%"
"04/10/2025","63.23","68.59","68.59","63.23","-8.04%"
"04/09/2025","68.76","63.81","68.76","63.81","7.93%"
"04/08/2025","63.71","63.71","63.71","63.71","3.11%"
"04/04/2025","61.79","56.82","61.79","56.82","8.71%"
"04/03/2025","56.84","55.35","56.84","55.35","2.90%"
"04/02/2025","55.24","54.75","55.24","54.75","0.86%"
"04/01/2025","54.77","54.73","54.77","54.73","9.98%"
"03/25/2025","49.80","50.32","50.32","49.80","-1.05%"
"03/24/2025","50.33","51.80","51.80","50.33","-2.89%"
"03/21/2025","51.83","51.29","51.83","51.29","0.97%"
"03/20/2025","51.33","51.84","51.84","51.33","2.03%"
"03/13/2025","50.31","48.29","50.31","48.29","4.25%"
"03/12/2025","48.26","49.75","49.75","48.26","-2.92%"
"03/11/2025","49.71","48.83","49.71","48.83","1.82%"
"03/10/2025","48.82","46.78","48.82","46.78","4.18%"
"03/07/2025","46.86","46.92","46.92","46.86","0.24%"
"03/06/2025","46.75","46.15","46.75","46.15","1.63%"
"03/05/2025","46.00","47.17","47.17","46.00","-2.85%"
"03/04/2025","47.35","45.88","47.35","45.88","2.31%"
"03/03/2025","46.28","46.28","46.28","45.78","0.94%"
"02/28/2025","45.85","45.85","46.36","45.85","2.23%"
"02/27/2025","44.85","44.85","45.86","44.85","-2.07%"
"02/26/2025","45.80","45.80","45.80","44.86","-0.02%"
