Scenario,Condition,Gross EUR,Gross %,AI EUR,Clean %
Worst Case,"EURIBOR <= 0 (floor binds, coupons 7-40 = 0)",810.48,81.05,4.779,80.57
Best Case,"EURIBOR >= 3.406% (cap binds, coupons 7-40 = 13.625)",1227.78,122.78,4.779,122.3
